ORGAO;orgao_no;orgao_sg;nat_jur_orgao_co;nat_jur_orgao_no;orgao_vinc_co;orgao_vinc_no
36208;AGENCIA NACIONAL DE SAUDE SUPLEMENTAR;ANS;9;AUTARQUIA ESPECIAL;25000;MINISTERIO DA SAUDE
36209;HOSPITAL FEMINA;HF;5;EMPRESA PUBLICA;25000;MINISTERIO DA SAUDE
36210;HOSPITAL NOSSA SENHORA DA CONCEICAO;HNSC;5;EMPRESA PUBLICA;25000;MINISTERIO DA SAUDE
36211;HOSPITAL CRISTO REDENTOR;HCR;5;EMPRESA PUBLICA;25000;MINISTERIO DA SAUDE
37000;DEFENSORIA PUBLICA DA UNIAO;DPU;1;ADMINISTRACAO DIRETA FEDERAL;37000;DEFENSORIA PUBLICA DA UNIAO
38000;CONSELHO ADMINIST.DE DEFESA ECONOMICA;CADE;3;AUTARQUIA FEDERAL;20000;MINIST. DA JUSTICA E SEGURANCA PUBLICA
39250;AGENCIA NAC. DE TRANSPORTES TERRESTRES;ANTT;9;AUTARQUIA ESPECIAL;49000;MINISTERIO DA INFRAESTRUTURA
39251;AGENCIA NAC. DE TRANSPORTES AQUAVIARIOS;ANTAQ;9;AUTARQUIA ESPECIAL;49000;MINISTERIO DA INFRAESTRUTURA
39252;DEPARTAMENTO NAC.DE INFRAEST. DE TRANSP.;DNIT;3;AUTARQUIA FEDERAL;49000;MINISTERIO DA INFRAESTRUTURA
39253;EMPRESA DE PLANEJAMENTO E LOGISTICA S.A.;EPL;5;EMPRESA PUBLICA;49000;MINISTERIO DA INFRAESTRUTURA
40100;MIN DA INTEG E DO DESENV REGIONAL;MIDR;1;ADMINISTRACAO DIRETA FEDERAL;20101;PRESIDENCIA DA REPUBLICA
40105;MINISTERIO DA DEFESA;MD;1;ADMINISTRACAO DIRETA FEDERAL;20101;PRESIDENCIA DA REPUBLICA
40106;ADVOCACIA-GERAL DA UNIAO;AGU;1;ADMINISTRACAO DIRETA FEDERAL;20101;PRESIDENCIA DA REPUBLICA
40107;MINISTERIO DA CULTURA;MINC;1;ADMINISTRACAO DIRETA FEDERAL;40107;MINISTERIO DA CULTURA
40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES;MCTIC;1;ADMINISTRACAO DIRETA FEDERAL;40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES
40111;MINISTERIO DO MEIO AMBIENTE;MMA;1;ADMINISTRACAO DIRETA FEDERAL;40111;MINISTERIO DO MEIO AMBIENTE
40112;MINISTERIO DO DESENVOLVIMENTO REGIONAL;MDR;1;ADMINISTRACAO DIRETA FEDERAL;40112;MINISTERIO DO DESENVOLVIMENTO REGIONAL
40200;MINISTERIO DAS CIDADES;MCID;1;ADMINISTRACAO DIRETA FEDERAL;40112;MINISTERIO DO DESENVOLVIMENTO REGIONAL
40202;FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA;ENAP;4;FUNDACAO FEDERAL;17000;MINISTERIO DA ECONOMIA
40301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;CNEN;9;AUTARQUIA ESPECIAL;40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES
40403;FUNDACAO CASA DE RUI BARBOSA;FCRB;4;FUNDACAO FEDERAL;54000;MINISTERIO DO TURISMO
40408;FUNDACAO CULTURAL PALMARES;FCP;4;FUNDACAO FEDERAL;54000;MINISTERIO DO TURISMO
40501;CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO;CNPQ;4;FUNDACAO FEDERAL;40108;MINISTERIO CIENCIA TEC.INOV.COMUNICACOES
40603;SUPERINTENDENCIA ZONA FRANCA DE MANAUS;SUFRAMA;3;AUTARQUIA FEDERAL;17000;MINISTERIO DA ECONOMIA
40604;INSTITUTO BRASILEIRO DE TURISMO;EMBRATUR;9;AUTARQUIA ESPECIAL;54000;MINISTERIO DO TURISMO
40701;INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS;IBAMA;9;AUTARQUIA ESPECIAL;40111;MINISTERIO DO MEIO AMBIENTE
40801;GOVERNO DO EX-TERRITORIO DO AMAPA;EX-TER/AP;1;ADMINISTRACAO DIRETA FEDERAL;17000;MINISTERIO DA ECONOMIA
40802;GOVERNO DO EX-TERRITORIO DO ACRE;EX-TER/AC;1;ADMINISTRACAO DIRETA FEDERAL;17000;MINISTERIO DA ECONOMIA
40803;GOVERNO DO EX-TERRITORIO DE RONDONIA;EX-TER/RO;1;ADMINISTRACAO DIRETA FEDERAL;17000;MINISTERIO DA ECONOMIA
40804;GOVERNO DO EX-TERRITORIO DE RORAIMA;EX-TER/RR;1;ADMINISTRACAO DIRETA FEDERAL;17000;MINISTERIO DA ECONOMIA
40805;ANTIGO EST.GUANABARA E DISTRITO FEDERAL;ANTDFDEPEX;1;ADMINISTRACAO DIRETA FEDERAL;17000;MINISTERIO DA ECONOMIA
