ORGAO;orgao_no;orgao_sg;nat_jur_orgao_co;nat_jur_orgao_no;orgao_vinc_co;orgao_vinc_no
99020;TRIBUNAL REGIONAL ELEITORAL - RN;TRE-RN;1;ADMINISTRACAO DIRETA FEDERAL;99020;TRIBUNAL REGIONAL ELEITORAL - RN
99021;TRIBUNAL REGIONAL ELEITORAL - PB;TRE-PB;1;ADMINISTRACAO DIRETA FEDERAL;99021;TRIBUNAL REGIONAL ELEITORAL - PB
99022;TRIBUNAL REGIONAL ELEITORAL - PI;TRE-PI;1;ADMINISTRACAO DIRETA FEDERAL;99022;TRIBUNAL REGIONAL ELEITORAL - PI
99023;TRIBUNAL REGIONAL ELEITORAL - AC;TRE-AC;1;ADMINISTRACAO DIRETA FEDERAL;99023;TRIBUNAL REGIONAL ELEITORAL - AC
99024;TRIBUNAL REGIONAL ELEITORAL - AL;TRE-AL;1;ADMINISTRACAO DIRETA FEDERAL;99024;TRIBUNAL REGIONAL ELEITORAL - AL
99025;TRIBUNAL REGIONAL ELEITORAL - AM;TRE-AM;1;ADMINISTRACAO DIRETA FEDERAL;99025;TRIBUNAL REGIONAL ELEITORAL - AM
99026;TRIBUNAL REGIONAL ELEITORAL - CE;TRE-CE;1;ADMINISTRACAO DIRETA FEDERAL;99026;TRIBUNAL REGIONAL ELEITORAL - CE
99027;TRIBUNAL REGIONAL ELEITORAL - MA;TRE-MA;1;ADMINISTRACAO DIRETA FEDERAL;99027;TRIBUNAL REGIONAL ELEITORAL - MA
99028;TRIBUNAL REGIONAL FEDERAL;TRF;1;ADMINISTRACAO DIRETA FEDERAL;99028;TRIBUNAL REGIONAL FEDERAL
99029;TRIBUNAL REGIONAL ELEITORAL - PA;TRE-PA;1;ADMINISTRACAO DIRETA FEDERAL;99029;TRIBUNAL REGIONAL ELEITORAL - PA
99030;TRIBUNAL REGIONAL ELEITORAL - PE;TRE-PE;1;ADMINISTRACAO DIRETA FEDERAL;99030;TRIBUNAL REGIONAL ELEITORAL - PE
99032;TRIBUNAL REGIONAL ELEITORAL - DF;TRE-DF;1;ADMINISTRACAO DIRETA FEDERAL;99032;TRIBUNAL REGIONAL ELEITORAL - DF
99033;PREFEITURA MUNICIPAL DE PORTO VELHO-RO;PMPV-RO;7;SERVICO PUBLICO MUNICIPAL;99033;PREFEITURA MUNICIPAL DE PORTO VELHO-RO
99034;TRIBUNAL REGIONAL FEDERAL 1A REGIAO / DF;TRF-DF;1;ADMINISTRACAO DIRETA FEDERAL;99034;TRIBUNAL REGIONAL FEDERAL 1A REGIAO / DF
99035;PREFEITURA MUNICIPAL DE MUNDO NOVO - MS;PMMUNDO-MS;7;SERVICO PUBLICO MUNICIPAL;99035;PREFEITURA MUNICIPAL DE MUNDO NOVO - MS
99036;PREFEITURA MUNICIPAL DE ARACAJU - SE;PREFMUAR-S;7;SERVICO PUBLICO MUNICIPAL;99036;PREFEITURA MUNICIPAL DE ARACAJU - SE
99037;PREFEITURA MUNICIPAL DE MARINGA - PR;PREF.MARIN;7;SERVICO PUBLICO MUNICIPAL;99037;PREFEITURA MUNICIPAL DE MARINGA - PR
99038;PREFEITURA MUNICIPAL DE BAIA FORMOSA/RN;PMBF/RN;7;SERVICO PUBLICO MUNICIPAL;99038;PREFEITURA MUNICIPAL DE BAIA FORMOSA/RN
99039;PREFEITURA MUNICIPAL DE ALTOS - PI;PMALTOS-PI;7;SERVICO PUBLICO MUNICIPAL;99039;PREFEITURA MUNICIPAL DE ALTOS - PI
99040;PREFEITURA MUNICIPAL DE FORTALEZA / CE;PMFORTALEZ;7;SERVICO PUBLICO MUNICIPAL;99040;PREFEITURA MUNICIPAL DE FORTALEZA / CE
99041;ASSEMBLEIA LEGISLATIVA - CE;ASLEG/CE;10;SERVICO PUBLICO ESTADUAL;99041;ASSEMBLEIA LEGISLATIVA - CE
99042;TRIBUNAL REGIONAL DO TRABALHO - MS;TRT/MS;1;ADMINISTRACAO DIRETA FEDERAL;99042;TRIBUNAL REGIONAL DO TRABALHO - MS
99043;PREFEITURA MUNIC CACHOEIRA ITAPEMIRIM/ES;PMCI/ES;7;SERVICO PUBLICO MUNICIPAL;99043;PREFEITURA MUNIC CACHOEIRA ITAPEMIRIM/ES
99044;TRIBUNAL DE JUSTICA DO EST DE RONDONIA;TJ/RO;10;SERVICO PUBLICO ESTADUAL;99044;TRIBUNAL DE JUSTICA DO EST DE RONDONIA
99045;PREFEITURA MUNICIPAL DE VITORIA/ES;PMV-ES;7;SERVICO PUBLICO MUNICIPAL;99045;PREFEITURA MUNICIPAL DE VITORIA/ES
99046;PREFEITURA MUNICIPAL DE BAURU - SP;PREFBAURU;7;SERVICO PUBLICO MUNICIPAL;99046;PREFEITURA MUNICIPAL DE BAURU - SP
99047;TRIBUNAL SUPERIOR ELEITORAL;TSE;1;ADMINISTRACAO DIRETA FEDERAL;99047;TRIBUNAL SUPERIOR ELEITORAL
99048;TRIBUNAL DE JUSTICA DO DF E TERRITORIOS;TJDF/TERRI;1;ADMINISTRACAO DIRETA FEDERAL;99048;TRIBUNAL DE JUSTICA DO DF E TERRITORIOS
99049;TRIBUNAL REGIONAL TRABALHO - 15A. REGIAO;TRT-CAMPIN;1;ADMINISTRACAO DIRETA FEDERAL;99049;TRIBUNAL REGIONAL TRABALHO - 15A. REGIAO
99050;TRIBUNAL REGIONAL DO TRABALHO - AL;TRT-AL;10;SERVICO PUBLICO ESTADUAL;99050;TRIBUNAL REGIONAL DO TRABALHO - AL
99051;PREFEITURA MUNICIPAL DE CACOAL - RO;PMCACOAL/R;7;SERVICO PUBLICO MUNICIPAL;99051;PREFEITURA MUNICIPAL DE CACOAL - RO
99052;TRIBUNAL REGIONAL DO TRABALHO-MT;TRT-MT;10;SERVICO PUBLICO ESTADUAL;99052;TRIBUNAL REGIONAL DO TRABALHO-MT
99053;TRIBUNAL REGIONAL FEDERAL 5A REGIAO/PE;TRF/PE;1;ADMINISTRACAO DIRETA FEDERAL;99053;TRIBUNAL REGIONAL FEDERAL 5A REGIAO/PE
99054;PREFEITURA MUNICIPAL;PREFEITURA;7;SERVICO PUBLICO MUNICIPAL;99054;PREFEITURA MUNICIPAL
99056;PREFEITURA MUNICIPAL DE NIQUELANDIA - GO;PREFMUNNIQ;7;SERVICO PUBLICO MUNICIPAL;99056;PREFEITURA MUNICIPAL DE NIQUELANDIA - GO
99057;TELECOMUNICACOES DE BRASILIA;TELEBRASIL;5;EMPRESA PUBLICA;99057;TELECOMUNICACOES DE BRASILIA
99058;COMPANHIA DOCAS DE SAO PAULO;CODESP;5;EMPRESA PUBLICA;49000;MINISTERIO DA INFRAESTRUTURA
99059;CENTRAIS ELETRICAS NORTE BRASIL;ELETRONORT;5;EMPRESA PUBLICA;99059;CENTRAIS ELETRICAS NORTE BRASIL
99060;COMPANHIA ENERGETICA DE BRASILIA;CEB;5;EMPRESA PUBLICA;99060;COMPANHIA ENERGETICA DE BRASILIA
99061;COMP DOCAS DO ESTADO DO RIO DE JANEIRO;CODERJ;5;EMPRESA PUBLICA;49000;MINISTERIO DA INFRAESTRUTURA
99062;COMP DOCAS DO ESTADO DA BAHIA;CODEBA;5;EMPRESA PUBLICA;49000;MINISTERIO DA INFRAESTRUTURA
99063;ADMINISTRACAO DO PORTO DE MANAUS;CODOMAR;5;EMPRESA PUBLICA;49000;MINISTERIO DA INFRAESTRUTURA
99064;CAMARA MUNICIPAL DE MACAE;CAMUNIMACA;7;SERVICO PUBLICO MUNICIPAL;99064;CAMARA MUNICIPAL DE MACAE
99065;COORD EMP INCORP DO PATRIMONIO NACIONAL;CEIPN;1;ADMINISTRACAO DIRETA FEDERAL;99065;COORD EMP INCORP DO PATRIMONIO NACIONAL
99066;TRIBUNAL REGIONAL DO TRABALHO - ES;TRT-ES;10;SERVICO PUBLICO ESTADUAL;99066;TRIBUNAL REGIONAL DO TRABALHO - ES
99067;PREFEITURA MNICIPAL DE PRATAPOLIS/MG;PMPTA/MG;7;SERVICO PUBLICO MUNICIPAL;99067;PREFEITURA MNICIPAL DE PRATAPOLIS/MG
99068;PREFEITURA MUNICIPAL DE RECIFE/PE;PRECIFE/PE;7;SERVICO PUBLICO MUNICIPAL;99068;PREFEITURA MUNICIPAL DE RECIFE/PE
99069;TRIBUNAL REGIONAL FEDERAL 3A REGIAO/SP;TRF/SP;1;ADMINISTRACAO DIRETA FEDERAL;99069;TRIBUNAL REGIONAL FEDERAL 3A REGIAO/SP
99070;TRIBUNAL REGIONAL DO TRABALHO / BA;TRT/BA;1;ADMINISTRACAO DIRETA FEDERAL;99070;TRIBUNAL REGIONAL DO TRABALHO / BA
99071;ASSEMBLEIA LEGISLATIVA / PE;ASSLEG/PE;10;SERVICO PUBLICO ESTADUAL;99071;ASSEMBLEIA LEGISLATIVA / PE
99072;GOVERNO DO DISTRITO FEDERAL;GDF;10;SERVICO PUBLICO ESTADUAL;99072;GOVERNO DO DISTRITO FEDERAL
99080;TRIBUNAL DE ALCADA EM MINAS GERAIS;TA/MG;1;ADMINISTRACAO DIRETA FEDERAL;99080;TRIBUNAL DE ALCADA EM MINAS GERAIS
99100;TRIBUNAL REGIONAL TRABALHO 3A REGIAO/BH;TRT/3AR/BH;1;ADMINISTRACAO DIRETA FEDERAL;99100;TRIBUNAL REGIONAL TRABALHO 3A REGIAO/BH
99131;PREFEITURA DE SAO PAULO/SP;PMSP;7;SERVICO PUBLICO MUNICIPAL;99131;PREFEITURA DE SAO PAULO/SP
99132;PREFEITURA DE SAO LUIZ/MA;PREF/SLUIZ;7;SERVICO PUBLICO MUNICIPAL;99132;PREFEITURA DE SAO LUIZ/MA
99133;TRIBUNAL DE JUSTICA;TJ;1;ADMINISTRACAO DIRETA FEDERAL;99133;TRIBUNAL DE JUSTICA
99300;COMPANHIA DE GERAC TERMIC DE ENERGIA ELE;COGETEEL;3;AUTARQUIA FEDERAL;99300;COMPANHIA DE GERAC TERMIC DE ENERGIA ELE
99607;ASSEMBLEIA LEGISLATIVA - RJ;ASSLEG-RJ;10;SERVICO PUBLICO ESTADUAL;99607;ASSEMBLEIA LEGISLATIVA - RJ
99901;CONSELHO DE JUSTICA FEDERAL;CJF;9;AUTARQUIA ESPECIAL;99901;CONSELHO DE JUSTICA FEDERAL
99904;JUSTICA ELEITORAL;JE;1;ADMINISTRACAO DIRETA FEDERAL;99904;JUSTICA ELEITORAL
99905;TRIBUNAL REGIONAL DO TRABALHO;TRT;1;ADMINISTRACAO DIRETA FEDERAL;99905;TRIBUNAL REGIONAL DO TRABALHO
99990;ESTADOS/MUNICIPIOS/ADM.DIR-AUT/FUNDACOES;E/M/AD.A.F;1;ADMINISTRACAO DIRETA FEDERAL;99990;ESTADOS/MUNICIPIOS/ADM.DIR-AUT/FUNDACOES
99991;ESTADOS / MUNICIPIOS / EMPRESAS;E/M/EMPRES;5;EMPRESA PUBLICA;99991;ESTADOS / MUNICIPIOS / EMPRESAS
99992;JUSTICA FEDERAL;JF;1;ADMINISTRACAO DIRETA FEDERAL;99992;JUSTICA FEDERAL
